,white_username,black_username,url,UTCDate,StartTime,end_time,Result,white_user_class,black_user_class,start_date_time
2224,SophiaZ2022,james2945,https://www.chess.com/game/live/75518435961,2023.04.18,00:57:21,01:04:42,1-0,BP,BP,2023-04-18 00:57:21
2299,yumitang,AliceCLi,https://www.chess.com/game/live/75313820377,2023.04.15,16:05:01,16:22:15,0-1,BP,BP,2023-04-15 16:05:01
1824,taionemm,wallacewang1214,https://www.chess.com/game/live/75313780269,2023.04.15,16:03:44,16:08:49,0-1,BP,BP,2023-04-15 16:03:44
1870,augustinewz,yaohengli,https://www.chess.com/game/live/75313835629,2023.04.15,16:05:15,16:39:18,0-1,BP,BP,2023-04-15 16:05:15
2192,wallacewang1214,james2945,https://www.chess.com/game/live/74999010177,2023.04.12,00:43:27,00:55:40,1/2-1/2,BP,BP,2023-04-12 00:43:27
2223,yumitang,SophiaZ2022,https://www.chess.com/game/live/74709098623,2023.04.08,16:06:02,16:21:20,0-1,BP,BP,2023-04-08 16:06:02
1819,taionemm,yaohengli,https://www.chess.com/game/live/74708732961,2023.04.08,16:03:13,16:19:48,1-0,BP,BP,2023-04-08 16:03:13
1869,Oscarzhang818,augustinewz,https://www.chess.com/game/live/74709096401,2023.04.08,16:06:01,16:35:40,1-0,BP,BP,2023-04-08 16:06:01
2023,james2945,yaohengli,https://www.chess.com/game/live/74220741799,2023.04.03,00:30:58,00:52:45,0-1,BP,BP,2023-04-03 00:30:58
1818,Oscarzhang818,taionemm,https://www.chess.com/game/live/74220635257,2023.04.03,00:25:51,00:37:00,1-0,BP,BP,2023-04-03 00:25:51
2179,wallacewang1214,yumitang,https://www.chess.com/game/live/74104340097,2023.04.01,16:08:03,16:18:09,1-0,BP,BP,2023-04-01 16:08:03
2222,SophiaZ2022,AliceCLi,https://www.chess.com/game/live/74104315725,2023.04.01,16:07:03,16:12:18,0-1,BP,BP,2023-04-01 16:07:03
1815,taionemm,augustinewz,https://www.chess.com/game/live/73617734921,2023.03.27,01:02:03,01:18:42,0-1,BP,BP,2023-03-27 01:02:03
2168,wallacewang1214,AliceCLi,https://www.chess.com/game/live/73499050905,2023.03.25,16:01:22,16:15:13,1/2-1/2,BP,BP,2023-03-25 16:01:22
1888,Oscarzhang818,james2945,https://www.chess.com/game/live/73500092523,2023.03.25,16:16:50,16:18:20,1-0,BP,BP,2023-03-25 16:16:50
2003,yumitang,yaohengli,https://www.chess.com/game/live/73355116565,2023.03.24,00:01:35,00:15:31,0-1,BP,BP,2023-03-24 00:01:35
1865,james2945,augustinewz,https://www.chess.com/game/live/72911867101,2023.03.18,20:55:14,21:10:20,0-1,BP,BP,2023-03-18 20:55:14
2155,SophiaZ2022,wallacewang1214,https://www.chess.com/game/live/72894841165,2023.03.18,16:08:05,16:12:30,0-1,BP,BP,2023-03-18 16:08:05
1887,Oscarzhang818,yumitang,https://www.chess.com/game/live/72894812657,2023.03.18,16:07:02,16:22:07,1-0,BP,BP,2023-03-18 16:07:02
1814,DDisawesome,taionemm,https://www.chess.com/game/live/72894918519,2023.03.18,16:10:15,16:19:40,1-0,BP,BP,2023-03-18 16:10:15
1992,AliceCLi,yaohengli,https://www.chess.com/game/live/72894520407,2023.03.18,16:05:53,16:31:04,0-1,BP,BP,2023-03-18 16:05:53
1793,james2945,taionemm,https://www.chess.com/game/live/72493328305,2023.03.14,00:37:59,00:46:36,1-0,BP,BP,2023-03-14 00:37:59
1859,yumitang,augustinewz,https://www.chess.com/game/live/72293155949,2023.03.11,17:02:56,17:10:35,0-1,BP,BP,2023-03-11 17:02:56
2150,wallacewang1214,DDisawesome,https://www.chess.com/game/live/72293488599,2023.03.11,17:05:33,17:13:57,1-0,BP,BP,2023-03-11 17:05:33
1981,SophiaZ2022,yaohengli,https://www.chess.com/game/live/72293159649,2023.03.11,17:03:05,17:22:13,1-0,BP,BP,2023-03-11 17:03:05
1886,Oscarzhang818,AliceCLi,https://www.chess.com/game/live/72293176455,2023.03.11,17:03:29,17:13:23,1-0,BP,BP,2023-03-11 17:03:29
1975,wallacewang1214,yaohengli,https://www.chess.com/game/live/71803343979,2023.03.06,00:57:56,01:20:53,0-1,BP,BP,2023-03-06 00:57:56
2389,james2945,DDisawesome,https://www.chess.com/game/live/71792613265,2023.03.05,21:59:00,22:08:40,1-0,BP,BP,2023-03-05 21:59:00
